,class,filter,pretrained_AUROC_scores,all_layers_finetuned_AUROC_scores,pretrained_and_finetuned_AUROC_scores
0,0,0,0.9660647777777779,0.9692561111111111,0.9771748888888888
1,0,1,0.6650623333333334,0.5883253333333334,0.6581733333333333
2,0,2,0.6373976666666666,0.5940536666666667,0.6335975555555555
3,1,0,0.984820888888889,0.9807518888888889,0.9871756666666666
4,1,1,0.6262188888888889,0.546368111111111,0.5859334444444445
5,1,2,0.5139756666666667,0.6525101111111111,0.6254813333333332
6,2,0,0.967371,0.9227401111111112,0.9715974444444446
7,2,1,0.5727304444444444,0.4882072222222223,0.5461683333333334
8,2,2,0.54879,0.5195916666666667,0.5374312222222223
9,3,0,0.9589945555555556,0.939218,0.9664874444444443
10,3,1,0.5982165555555556,0.5585784444444444,0.589474111111111
11,3,2,0.6043087777777777,0.5674072222222222,0.6120498888888889
12,4,0,0.9849031111111112,0.9713139999999999,0.9881253333333333
13,4,1,0.6666855555555555,0.5479293333333333,0.6344807777777777
14,4,2,0.5591525555555557,0.3677558888888889,0.386935
15,5,0,0.983508,0.9496903333333333,0.9848747777777778
16,5,1,0.6302963333333333,0.6482181111111112,0.6707478888888888
17,5,2,0.5739555555555556,0.5696927777777777,0.5739885555555555
